X,Y,Dist,bottom,surface
-173126.82501075254,-2207016.9161094017,16075.719867666292,117.57996260275627,1063.0174603765777
-173212.0011496095,-2206985.314381161,16166.543143754803,126.26598351689596,1061.6874212397681
-173297.02782139822,-2206953.3252396714,16257.366419843313,134.95200443103545,1060.3573821029586
-173381.90069854024,-2206920.943598296,16348.189695931824,143.63802534517512,1059.027342966149
-173466.61545345673,-2206888.1643703934,16439.012972020333,152.32404625931463,1057.6973038293395
-173551.1677585691,-2206854.982469324,16529.836248108844,161.0100671734543,1056.36726469253
-173635.55494707677,-2206821.3968178923,16620.659524197352,169.5980821962085,1054.9549767020358
-173719.88039771505,-2206787.6612869566,16711.482800285863,148.88056015149834,1050.092069178513
-173804.24244257147,-2206754.0182067417,16802.306076374374,130.94915714624452,1045.7887516975095
-173888.56690828473,-2206720.280270032,16893.129352462885,133.8701551793448,1038.29
-173972.94470397802,-2206686.67713263,16983.952628551393,135.977995113285,1034.682930319859
-174057.38015414032,-2206653.219185365,17074.775904639904,133.94500861334996,1028.1178476881319
-174141.8877827048,-2206619.943957479,17165.599180728415,136.27180500245225,1025.1190434330135
-174226.46332447827,-2206586.84040538,17256.422456816923,123.02642580161013,1021.0775897192718
-174311.08694928055,-2206553.8609072985,17347.245732905434,84.4649224602857,1014.2
-174395.76387544046,-2206521.019096262,17438.069008993945,46.01647425518808,1010.9506488301486
-174480.55032422103,-2206488.460443425,17528.892285082453,11.2452481661308,1007.6917375916935
-174565.40774320503,-2206456.0870457957,17619.715561170964,-22.730071143046974,1004.0274222399846
-174650.32520947777,-2206423.8721673638,17710.538837259475,-56.053474684109474,1002.9552590235617
-174735.34657739644,-2206391.932178463,17801.362113347986,-115.26079879931896,998.943982487952
-174820.4183665892,-2206360.1256285673,17892.185389436494,-133.4372022010363,997.7710554760869
-174905.48798695064,-2206328.3132335497,17983.008665525005,-151.84410872043097,996.402226767025
-174990.636804252,-2206296.71502379,18073.831941613516,-164.9,994.86
